claim_id,claim_text_or_token,value,source_file_and_field,evidence_date,evidence_role,page_audience,status,action
token:bx1.first_words_k,"bx1.first_words_k — cm_master_content_2026_08_03.json:694: ""The word-packed engine's fixed dispatch cost keeps flat fastest through live_k={{bx1.last_flat_k}} on this corpus; words only wins at live_k={{bx1.first_words_k}}, at {{bx1.k16.wvf}} of flat. At live_k=6 — where a suppo",16,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: min live_k where fastest_engine_by_median == words,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx1.fvr.max,"bx1.fvr.max — cm_master_content_2026_08_03.json:693: ""Flat big-integer evaluation beats the recursive kernel at every support measured, with ratios of {{bx1.fvr.min}}–{{bx1.fvr.max}}. That part is unconditional."",",0.8766692493549072,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: max(flat_vs_recursive_ratio_geomean),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx1.fvr.min,"bx1.fvr.min — cm_master_content_2026_08_03.json:693: ""Flat big-integer evaluation beats the recursive kernel at every support measured, with ratios of {{bx1.fvr.min}}–{{bx1.fvr.max}}. That part is unconditional."",",0.5512236076972395,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: min(flat_vs_recursive_ratio_geomean),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx1.k16.wvf,"bx1.k16.wvf — cm_master_content_2026_08_03.json:694: ""The word-packed engine's fixed dispatch cost keeps flat fastest through live_k={{bx1.last_flat_k}} on this corpus; words only wins at live_k={{bx1.first_words_k}}, at {{bx1.k16.wvf}} of flat. At live_k=6 — where a suppo",0.8178110656158604,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: live_k=16 words_vs_flat_ratio_geomean,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx1.k6.wvf,"bx1.k6.wvf — cm_master_content_2026_08_03.json:694: ""The word-packed engine's fixed dispatch cost keeps flat fastest through live_k={{bx1.last_flat_k}} on this corpus; words only wins at live_k={{bx1.first_words_k}}, at {{bx1.k16.wvf}} of flat. At live_k=6 — where a suppo",5.762046289726736,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: live_k=6 words_vs_flat_ratio_geomean,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx1.last_flat_k,"bx1.last_flat_k — cm_master_content_2026_08_03.json:694: ""The word-packed engine's fixed dispatch cost keeps flat fastest through live_k={{bx1.last_flat_k}} on this corpus; words only wins at live_k={{bx1.first_words_k}}, at {{bx1.k16.wvf}} of flat. At live_k=6 — where a suppo",12,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: max live_k where fastest_engine_by_median == flat_bigint,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx1.n_formulas,bx1.n_formulas,80,deliverables_n22_24/bx1_crossover_2026_08_03/cm_bx1_crossover_results_2026_08_03.json :: len(formulas),2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; token currently not rendered,current,retained or updated; builder uniqueness/provenance gate
token:bx1.wvf.max,"bx1.wvf.max — cm_master_content_2026_08_03.json:856: ""why"": ""flat big-integer beat word-packed through live_k={{bx1.last_flat_k}} here, and word-packed was {{bx1.wvf.max}} slower at the support where a naive rule would have switched""",5.762046289726736,deliverables_n22_24/bx1_crossover_2026_08_03/CM_bx1_crossover_summary_2026_08_03.csv :: max(words_vs_flat_ratio_geomean),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx2.max_nodes,"bx2.max_nodes — cm_master_content_2026_08_03.json:721: ""Variable ordering is a real cost centre. Trying ten seeded orders and keeping the smallest graph gave {{bx2.node_saving.min_pct}}–{{bx2.node_saving.max_pct}} fewer nodes at about {{bx2.search_x.min}}–{{bx2.search_x.max}",78.0,deliverables_n22_24/bx2_cudd_orders_2026_08_03/CM_bx2_cudd_orders_summary_2026_08_03.csv :: max(fixed_nodes_median),2026-08-03,accepted benchmark or repository evidence,expert/expert.html; master/index.html; layperson/layperson.html; investor/investor.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx2.n_orders,bx2.n_orders,10,deliverables_n22_24/bx2_cudd_orders_2026_08_03/cm_bx2_cudd_orders_results_2026_08_03.json :: _meta.n_orders,2026-08-03,accepted benchmark or repository evidence,generated payload in all five pages; token currently not rendered,current,retained or updated; builder uniqueness/provenance gate
token:bx2.node_saving.max_pct,"bx2.node_saving.max_pct — cm_master_content_2026_08_03.json:721: ""Variable ordering is a real cost centre. Trying ten seeded orders and keeping the smallest graph gave {{bx2.node_saving.min_pct}}–{{bx2.node_saving.max_pct}} fewer nodes at about {{bx2.search_x.min}}–{{bx2.search_x.max}",29.83891108891109,deliverables_n22_24/bx2_cudd_orders_2026_08_03/CM_bx2_cudd_orders_summary_2026_08_03.csv :: 100*(1-min(node_ratio_best10_vs_fixed_median)),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx2.node_saving.min_pct,"bx2.node_saving.min_pct — cm_master_content_2026_08_03.json:721: ""Variable ordering is a real cost centre. Trying ten seeded orders and keeping the smallest graph gave {{bx2.node_saving.min_pct}}–{{bx2.node_saving.max_pct}} fewer nodes at about {{bx2.search_x.min}}–{{bx2.search_x.max}",20.714285714285708,deliverables_n22_24/bx2_cudd_orders_2026_08_03/CM_bx2_cudd_orders_summary_2026_08_03.csv :: 100*(1-max(node_ratio_best10_vs_fixed_median)),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx2.reorder_ratio,"bx2.reorder_ratio — cm_master_content_2026_08_03.json:721: ""Variable ordering is a real cost centre. Trying ten seeded orders and keeping the smallest graph gave {{bx2.node_saving.min_pct}}–{{bx2.node_saving.max_pct}} fewer nodes at about {{bx2.search_x.min}}–{{bx2.search_x.max}",1.0,deliverables_n22_24/bx2_cudd_orders_2026_08_03/CM_bx2_cudd_orders_summary_2026_08_03.csv :: node_ratio_reorder_vs_fixed_median (identical at every stratum),2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx2.search_x.max,"bx2.search_x.max — cm_master_content_2026_08_03.json:721: ""Variable ordering is a real cost centre. Trying ten seeded orders and keeping the smallest graph gave {{bx2.node_saving.min_pct}}–{{bx2.node_saving.max_pct}} fewer nodes at about {{bx2.search_x.min}}–{{bx2.search_x.max}",9.923011704858576,deliverables_n22_24/bx2_cudd_orders_2026_08_03/cm_bx2_cudd_orders_results_2026_08_03.json + deliverables_n22_24/bx2_cudd_orders_2026_08_03/CM_bx2_cudd_orders_summary_2026_08_03.csv :: median(sum per_order build_us) / fixed_build_us_median,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:bx2.search_x.min,"bx2.search_x.min — cm_master_content_2026_08_03.json:721: ""Variable ordering is a real cost centre. Trying ten seeded orders and keeping the smallest graph gave {{bx2.node_saving.min_pct}}–{{bx2.node_saving.max_pct}} fewer nodes at about {{bx2.search_x.min}}–{{bx2.search_x.max}",8.504511029785503,deliverables_n22_24/bx2_cudd_orders_2026_08_03/cm_bx2_cudd_orders_results_2026_08_03.json + deliverables_n22_24/bx2_cudd_orders_2026_08_03/CM_bx2_cudd_orders_summary_2026_08_03.csv :: median(sum per_order build_us) / fixed_build_us_median,2026-08-03,accepted benchmark or repository evidence,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.evals,"cache.evals — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",50,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_reuse50_summary.csv :: cm_eval_repeat_median,20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.exec.k12,"cache.exec.k12 — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",3.868535791425328,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_reuse50_summary.csv :: n_vars=12 ratio_cm_hybrid_no_reinflate_cached_over_bitset_cached,20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.exec.k16,"cache.exec.k16 — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",2.799537147021495,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_reuse50_summary.csv :: n_vars=16 ratio_cm_hybrid_no_reinflate_cached_over_bitset_cached,20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.exec.k4,"cache.exec.k4 — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",11.177616991088556,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_reuse50_summary.csv :: n_vars=4 ratio_cm_hybrid_no_reinflate_cached_over_bitset_cached,20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.exec.k8,"cache.exec.k8 — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",8.914796643458441,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_reuse50_summary.csv :: n_vars=8 ratio_cm_hybrid_no_reinflate_cached_over_bitset_cached,20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.whole.max,"cache.whole.max — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",12.839066002074064,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_process_local_summary.csv :: max(cm_persistent_cache_no_reinflate_time_s_median / bitset_time_s_median),20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
token:cache.whole.min,"cache.whole.min — cm_master_content_2026_08_03.json:80: ""summary"": ""The flag called persistent cache was measured as a process-local, synthetic all-hit cache. Cached whole-call CM still took {{cache.whole.min}}–{{cache.whole.max}} BitSet time. With {{cache.evals}} cached eval",3.1317614994281957,docs/audits/2026-08-25-cm-deep-performance/reruns/campaign-20260826-132038/cache_process_local_summary.csv :: min(cm_persistent_cache_no_reinflate_time_s_median / bitset_time_s_median),20260826,synthetic workload hypothesis,master/index.html; layperson/layperson.html; investor/investor.html; expert/expert.html; use-cases/usecases.html,current,retained or updated; builder uniqueness/provenance gate
