source,line,literal,context,classification
cm_master_build_2026_08_03.py,140,20260826,"P_TRACE_CAMPAIGN = P_REMAINING / ""campaign-20260826-154541""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,140,154541,"P_TRACE_CAMPAIGN = P_REMAINING / ""campaign-20260826-154541""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,151,20260827,"P_THREE_LANE = P_REMAINING / ""three-lane-20260827-011536""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,151,011536,"P_THREE_LANE = P_REMAINING / ""three-lane-20260827-011536""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,157,08,"P_LATE_EVIDENCE = HERE / ""website_audit_2026-08-27"" / ""ACCEPTED-LATE-EVIDENCE.json""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,157,27,"P_LATE_EVIDENCE = HERE / ""website_audit_2026-08-27"" / ""ACCEPTED-LATE-EVIDENCE.json""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,160,08,"P_USE_CASE_CATALOG = HERE / ""use_case_benchmarks_2026-08-27"" / ""CM-USE-CASE-BENCHMARK-CATALOG.json""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,160,27,"P_USE_CASE_CATALOG = HERE / ""use_case_benchmarks_2026-08-27"" / ""CM-USE-CASE-BENCHMARK-CATALOG.json""","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,235,192,"""label"": ""Local synthetic (192 formulas)"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,236,2026,"""scope"": ""synthetic generator e3-corrected-2026-08-02.1 · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,236,08,"""scope"": ""synthetic generator e3-corrected-2026-08-02.1 · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,236,02.1,"""scope"": ""synthetic generator e3-corrected-2026-08-02.1 · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,236,5,"""scope"": ""synthetic generator e3-corrected-2026-08-02.1 · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,236,5650,"""scope"": ""synthetic generator e3-corrected-2026-08-02.1 · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,238,0,"""lo"": b1_acc[""new_ci95_stratified""][0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,239,1,"""hi"": b1_acc[""new_ci95_stratified""][1],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,240,4000,"""basis"": ""stratified-by-cell bootstrap (independent reaggregation, 4000 draws)"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,244,129,"""label"": ""External EPFL (129 cones, 19 circuits)"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,244,19,"""label"": ""External EPFL (129 cones, 19 circuits)"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,245,5,"""scope"": ""EPFL AND/INV combinational cones · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,245,5650,"""scope"": ""EPFL AND/INV combinational cones · Windows / Ryzen 5 PRO 5650U"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,256,0,"""label"": ""Pod %s"" % name.split(""_"")[0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,257,0,"""scope"": ""Linux / AMD EPYC · %s · numpy %s"" % (pod[""platform""].split(""-x86_64"")[0], pod[""numpy""]),","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,259,0,"""lo"": pod[""ci95""][0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,260,1,"""hi"": pod[""ci95""][1],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,276,0,"num(""kernel.local.lo"", b1_acc[""new_ci95_stratified""][0], ""ratio3"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,277,0,"""%s :: new_ci95_stratified[0]"" % rel(P_B1_ACC))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,278,1,"num(""kernel.local.hi"", b1_acc[""new_ci95_stratified""][1], ""ratio3"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,279,1,"""%s :: new_ci95_stratified[1]"" % rel(P_B1_ACC))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,280,100.0,"num(""kernel.local.pct"", 100.0 * (1.0 - b1_acc[""new_geomean_all_blocked""]), ""pct0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,280,1.0,"num(""kernel.local.pct"", 100.0 * (1.0 - b1_acc[""new_geomean_all_blocked""]), ""pct0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,281,100,"""%s :: 100*(1-new_geomean_all_blocked)"" % rel(P_B1_ACC))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,281,1,"""%s :: 100*(1-new_geomean_all_blocked)"" % rel(P_B1_ACC))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,288,100.0,"num(""kernel.epfl.pct"", 100.0 * (1.0 - epfl_ana[""secondary_blocked_cm_cse""][""geomean""]), ""pct0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,288,1.0,"num(""kernel.epfl.pct"", 100.0 * (1.0 - epfl_ana[""secondary_blocked_cm_cse""][""geomean""]), ""pct0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,289,100,"""%s :: 100*(1-secondary_blocked_cm_cse.geomean)"" % rel(P_EPFL_ANA))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,289,1,"""%s :: 100*(1-secondary_blocked_cm_cse.geomean)"" % rel(P_EPFL_ANA))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,313,1,if len(matches) != 1:,"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,318,0,return matches[0],"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,322,16,"_sym_bare_k16 = inference_row(""live_k"", ""cm_current_over_cse_flat_current"", live_k=""16"")","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,350,4000,"""basis"": ""circuit-clustered bootstrap (4000 draws)"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,359,4000,"""basis"": ""circuit-clustered bootstrap (4000 draws) — reported beside blocked, never pooled"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,366,0,"""label"": ""Pod %s"" % name.split(""_"")[0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,397,100.0,"num(""flat.local.residual_pct"", abs(100.0 * (b1_acc[""new_cm_vs_cse_flat_geomean""] - 1.0)), ""pct1"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,397,1.0,"num(""flat.local.residual_pct"", abs(100.0 * (b1_acc[""new_cm_vs_cse_flat_geomean""] - 1.0)), ""pct1"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,398,100,"""%s :: |100*(new_cm_vs_cse_flat_geomean-1)|"" % rel(P_B1_ACC))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,398,1,"""%s :: |100*(new_cm_vs_cse_flat_geomean-1)|"" % rel(P_B1_ACC))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,410,16,"""%s :: live_k/all/16/cm_current_over_cse_flat_current.paired_formula_cluster_geomean"" % rel(P_SYM_V3_INF))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,412,16,"""%s :: live_k/all/16/cm_current_over_cse_flat_current.paired_formula_cluster_bootstrap_ci95_low"" % rel(P_SYM_V3_INF))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,414,16,"""%s :: live_k/all/16/cm_current_over_cse_flat_current.paired_formula_cluster_bootstrap_ci95_high"" % rel(P_SYM_V3_INF))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,476,1,if len(rows) != 1:,"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,478,0,return rows[0],"reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,523,1,"rec[""live_k""] = int(g.split(""="")[1])","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,527,1,"rec[""family""] = fam.split(""="")[1]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,528,1,"rec[""shape""] = shp.split(""="")[1]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,538,0,"""lo"": b1_acc[""new_ci95_stratified""][0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,539,1,"""hi"": b1_acc[""new_ci95_stratified""][1],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,589,10,"num(""epfl.clone_commit"", epfl_prov[""clone_commit_sha""][:10], ""text"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,591,12,"num(""epfl.corpus_sha"", manifest[""corpora_sha256""][""epfl_corpus""][:12], ""text"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,600,0,"""label"": Path(p[""pod_dir""]).name.split(""_"")[0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,603,0,"""lo"": p[""ci95""][0],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,604,1,"""hi"": p[""ci95""][1],","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,642,4,"""engine_note"": ""k=4 rows run the bigint/BitSet fallback (words engine engages at k>=6); uncached warmenv is not separable at k=4 and is recorded skipped."",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,642,6,"""engine_note"": ""k=4 rows run the bigint/BitSet fallback (words engine engages at k>=6); uncached warmenv is not separable at k=4 and is recorded skipped."",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,642,4,"""engine_note"": ""k=4 rows run the bigint/BitSet fallback (words engine engages at k>=6); uncached warmenv is not separable at k=4 and is recorded skipped."",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,664,4,"num(""wrap.k4.median"", _b2_by_k[4][""cached_median""], ""x1"", ""%s :: live_k=4 cached ratio_median"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,664,4,"num(""wrap.k4.median"", _b2_by_k[4][""cached_median""], ""x1"", ""%s :: live_k=4 cached ratio_median"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,665,16,"num(""wrap.k16.median"", _b2_by_k[16][""cached_median""], ""x2"", ""%s :: live_k=16 cached ratio_median"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,665,16,"num(""wrap.k16.median"", _b2_by_k[16][""cached_median""], ""x2"", ""%s :: live_k=16 cached ratio_median"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,666,16,"num(""wrap.k16.geomean"", _b2_by_k[16][""cached_geomean""], ""x2"", ""%s :: live_k=16 cached ratio_geomean"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,666,16,"num(""wrap.k16.geomean"", _b2_by_k[16][""cached_geomean""], ""x2"", ""%s :: live_k=16 cached ratio_geomean"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,673,1,"num(""wrap.k16.bitset_us"", D[""e7_wrapper_cost""][""rows""][-1][""bitset_us""], ""us0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,674,16,"""%s :: live_k=16 bitset_us_median"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,675,1,"num(""wrap.k16.cm_us"", D[""e7_wrapper_cost""][""rows""][-1][""cm_wrapper_us""], ""us0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,676,16,"""%s :: live_k=16 cm_wrapper_us_median"" % rel(P_B2_SUM))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,705,16,"_b4_k16 = [r[""geomean""] for r in D[""e8_ambient_n""][""rows""] if r[""live_k""] == 16]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,707,16,"""%s :: max-min of paired_ratio_geomean at live_k=16 across ambient n"" % rel(P_B4_HEAD))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,738,15,"""%s :: sum(trials) over 15 cells"" % rel(P_B4_GUARD))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,743,8,"_d8 = [r[""declined_rate""] for r in guard_rows if r[""depth""] == 8]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,744,100.0,"num(""guard.depth8.min_pct"", 100.0 * min(_d8), ""pct0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,745,8,"""%s :: min(declined_rate) at depth=8"" % rel(P_B4_GUARD))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,746,100.0,"num(""guard.depth8.max_pct"", 100.0 * max(_d8), ""pct0"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,747,8,"""%s :: max(declined_rate) at depth=8"" % rel(P_B4_GUARD))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,748,4,"_d4 = [r[""median_live_k""] for r in guard_rows if r[""depth""] == 4]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,749,4,"num(""guard.depth4.medk.min"", min(_d4), ""num1"", ""%s :: min(median_live_k) at depth=4"" % rel(P_B4_GUARD))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,750,4,"num(""guard.depth4.medk.max"", max(_d4), ""num1"", ""%s :: max(median_live_k) at depth=4"" % rel(P_B4_GUARD))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,755,8,"_guard_k = re.search(r""max_full_output_vars\s*=\s*(\d+)"", P_B4_DRIVER.read_text(encoding=""utf-8""))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,758,1,"num(""guard.k"", int(_guard_k.group(1)), ""int"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,760,16,"""wrong-guard predicate is `live_k <= 16`)"" % rel(P_B4_DRIVER))","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,818,0,"num(""b3.prep_ratio.min"", D[""e10_compile_scaling""][""prep_ratio_range""][0], ""x1"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,820,1,"num(""b3.prep_ratio.max"", D[""e10_compile_scaling""][""prep_ratio_range""][1], ""x1"",","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,0,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,25,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,25,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,50,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,50,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,100,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,100,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,200,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,200,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,400,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,400,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,800,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,800,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,846,1e18,"BINS = [(0, 25), (25, 50), (50, 100), (100, 200), (200, 400), (400, 800), (800, 1e18)]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,0,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,25,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,25,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,50,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,50,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,100,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,100,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
cm_master_build_2026_08_03.py,847,200,"BIN_LABELS = [""0–25"", ""25–50"", ""50–100"", ""100–200"", ""200–400"", ""400–800"", ""800+""]","reviewed static/structural, formatting constant, protocol label, or corrections-ledger value"
